agent,eval,depth,score
MiniMaxAgent,corner_heuristic,3,276
MiniMaxAgent,corner_heuristic,3,232
MiniMaxAgent,corner_heuristic,3,236
MiniMaxAgent,corner_heuristic,3,272
MiniMaxAgent,corner_heuristic,3,212
MiniMaxAgent,corner_heuristic,3,184
MiniMaxAgent,corner_heuristic,3,356
MiniMaxAgent,corner_heuristic,3,188
MiniMaxAgent,corner_heuristic,3,200
MiniMaxAgent,corner_heuristic,3,200
MiniMaxAgent,corner_heuristic,3,180
MiniMaxAgent,corner_heuristic,3,124
MiniMaxAgent,corner_heuristic,3,284
MiniMaxAgent,corner_heuristic,3,120
MiniMaxAgent,corner_heuristic,3,148
MiniMaxAgent,corner_heuristic,3,192
MiniMaxAgent,corner_heuristic,3,188
MiniMaxAgent,corner_heuristic,3,276
MiniMaxAgent,corner_heuristic,3,168
MiniMaxAgent,corner_heuristic,3,256
MiniMaxAgent,corner_heuristic,3,196
MiniMaxAgent,corner_heuristic,3,152
MiniMaxAgent,corner_heuristic,3,384
MiniMaxAgent,corner_heuristic,3,140
MiniMaxAgent,corner_heuristic,3,288
MiniMaxAgent,corner_heuristic,3,284
MiniMaxAgent,corner_heuristic,3,228
MiniMaxAgent,corner_heuristic,3,272
MiniMaxAgent,corner_heuristic,3,176
MiniMaxAgent,corner_heuristic,3,372
MiniMaxAgent,corner_heuristic,3,256
MiniMaxAgent,corner_heuristic,3,200
MiniMaxAgent,corner_heuristic,3,336
MiniMaxAgent,corner_heuristic,3,292
MiniMaxAgent,corner_heuristic,3,176
MiniMaxAgent,corner_heuristic,3,176
MiniMaxAgent,corner_heuristic,3,140
MiniMaxAgent,corner_heuristic,3,304
MiniMaxAgent,corner_heuristic,3,324
MiniMaxAgent,corner_heuristic,3,208
MiniMaxAgent,corner_heuristic,3,456
MiniMaxAgent,corner_heuristic,3,164
MiniMaxAgent,corner_heuristic,3,292
MiniMaxAgent,corner_heuristic,3,336
MiniMaxAgent,corner_heuristic,3,152
MiniMaxAgent,score_heuristic,1,2388
MiniMaxAgent,score_heuristic,1,1648
MiniMaxAgent,score_heuristic,1,1760
MiniMaxAgent,score_heuristic,1,1508
MiniMaxAgent,score_heuristic,1,1276
MiniMaxAgent,score_heuristic,1,1468
MiniMaxAgent,score_heuristic,1,4064
MiniMaxAgent,score_heuristic,1,5424
MiniMaxAgent,score_heuristic,1,3356
MiniMaxAgent,score_heuristic,1,2048
MiniMaxAgent,score_heuristic,1,2572
MiniMaxAgent,score_heuristic,1,1104
MiniMaxAgent,score_heuristic,1,3092
MiniMaxAgent,score_heuristic,1,5504
MiniMaxAgent,score_heuristic,1,3348
MiniMaxAgent,score_heuristic,1,3512
MiniMaxAgent,score_heuristic,1,3120
MiniMaxAgent,score_heuristic,1,3036
MiniMaxAgent,score_heuristic,1,1544
MiniMaxAgent,score_heuristic,1,2992
MiniMaxAgent,score_heuristic,1,2928
MiniMaxAgent,score_heuristic,1,2936
MiniMaxAgent,score_heuristic,1,3036
MiniMaxAgent,score_heuristic,1,2732
MiniMaxAgent,score_heuristic,1,1652
MiniMaxAgent,score_heuristic,1,3516
MiniMaxAgent,score_heuristic,1,3016
MiniMaxAgent,score_heuristic,1,2376
MiniMaxAgent,score_heuristic,1,520
MiniMaxAgent,score_heuristic,1,3272
MiniMaxAgent,score_heuristic,1,2448
MiniMaxAgent,score_heuristic,1,2476
MiniMaxAgent,score_heuristic,1,2412
MiniMaxAgent,score_heuristic,1,2596
MiniMaxAgent,score_heuristic,1,3076
